source_ISO,target_ISO,year,value
MYS,CHN,2020,9
CHE,CHN,2017,9
BGD,CHN,2019,9
CZE,CHN,2015,9
IRN,CHN,2023,9
IND,CHN,2015,9
BRA,CHN,2018,9
BEL,CHN,2019,8
NLD,CHN,2016,8
CHE,CHN,2022,8
CZE,CHN,2016,8
NLD,CHN,2020,8
BEL,CHN,2017,8
ITA,CHN,2016,8
ESP,CHN,2018,8
IRN,CHN,2022,8
CHE,CHN,2023,8
NOR,CHN,2017,7
SWE,CHN,2020,7
EGY,CHN,2018,7
ITA,CHN,2023,7
GRC,CHN,2023,7
CZE,CHN,2022,7
RUS,CHN,2021,7
BEL,CHN,2022,7
CZE,CHN,2018,7
AUT,CHN,2023,7
IRN,CHN,2018,7
NZL,CHN,2021,7
IRN,CHN,2020,6
NGA,CHN,2020,6
IRN,CHN,2019,6
NZL,CHN,2023,6
NOR,CHN,2019,6
BGD,CHN,2018,6
FIN,CHN,2022,6
THA,CHN,2019,6
CZE,CHN,2023,6
MYS,CHN,2016,6
CHE,CHN,2018,6
NGA,CHN,2019,6
CHE,CHN,2016,6
ESP,CHN,2022,6
POL,CHN,2022,6
SWE,CHN,2015,6
DNK,CHN,2018,6
RUS,CHN,2017,6
ITA,CHN,2020,6
AUT,CHN,2021,6
ITA,CHN,2017,6
MYS,CHN,2017,5
SWE,CHN,2016,5
SWE,CHN,2017,5
SWE,CHN,2019,5
ITA,CHN,2018,5
BEL,CHN,2021,5
GRC,CHN,2018,5
BGR,CHN,2016,5
PHL,CHN,2015,5
NZL,CHN,2020,5
EGY,CHN,2019,5
EGY,CHN,2020,5
SAU,CHN,2023,5
FIN,CHN,2023,5
RUS,CHN,2022,5
SAU,CHN,2018,5
POL,CHN,2016,5
IRN,CHN,2021,5
IRN,CHN,2017,5
EGY,CHN,2021,5
RUS,CHN,2016,5
CZE,CHN,2017,5
FIN,CHN,2019,5
FIN,CHN,2021,5
RUS,CHN,2018,5
RUS,CHN,2019,5
PRT,CHN,2016,5
PRT,CHN,2018,5
PRT,CHN,2019,5
GHA,CHN,2016,5
MEX,CHN,2018,5
MEX,CHN,2022,5
VNM,CHN,2021,5
VNM,CHN,2023,5
THA,CHN,2023,5
CHE,CHN,2021,5
CHE,CHN,2019,5
NLD,CHN,2015,5
IDN,CHN,2022,4
NGA,CHN,2018,4
ROU,CHN,2017,4
DNK,CHN,2019,4
DNK,CHN,2022,4
ITA,CHN,2015,4
ISR,CHN,2022,4
ISR,CHN,2016,4
SAU,CHN,2022,4
NZL,CHN,2018,4
ESP,CHN,2020,4
IDN,CHN,2017,4
BGD,CHN,2016,4
CZE,CHN,2019,4
ESP,CHN,2016,4
ESP,CHN,2017,4
THA,CHN,2021,4
MEX,CHN,2015,4
BEL,CHN,2018,4
BGD,CHN,2021,4
BEL,CHN,2015,4
ISR,CHN,2019,4
AUT,CHN,2016,4
AUT,CHN,2019,4
POL,CHN,2018,4
IRL,CHN,2023,4
IRL,CHN,2018,4
BGR,CHN,2018,4
MYS,CHN,2022,4
BEL,CHN,2020,4
NZL,CHN,2016,4
ITA,CHN,2022,4
LBN,CHN,2023,4
IRL,CHN,2015,4
NOR,CHN,2023,4
NOR,CHN,2018,4
LKA,CHN,2022,3
TUN,CHN,2018,3
BRA,CHN,2022,3
LUX,CHN,2017,3
TUR,CHN,2022,3
BGD,CHN,2015,3
URY,CHN,2019,3
TUR,CHN,2015,3
SVN,CHN,2017,3
MEX,CHN,2023,3
YEM,CHN,2016,3
MEX,CHN,2016,3
MNG,CHN,2021,3
ZAF,CHN,2021,3
CHE,CHN,2015,3
MEX,CHN,2019,3
BEL,CHN,2016,3
ISR,CHN,2021,3
TUR,CHN,2023,3
TUR,CHN,2017,3
LKA,CHN,2020,3
IDN,CHN,2019,3
IRL,CHN,2019,3
NGA,CHN,2015,3
NGA,CHN,2021,3
NGA,CHN,2023,3
IRL,CHN,2016,3
PRT,CHN,2023,3
NZL,CHN,2022,3
ESP,CHN,2015,3
NOR,CHN,2021,3
IRN,CHN,2016,3
NOR,CHN,2016,3
NZL,CHN,2017,3
HUN,CHN,2018,3
NOR,CHN,2015,3
ISR,CHN,2017,3
ISR,CHN,2018,3
SAU,CHN,2019,3
ESP,CHN,2019,3
GRC,CHN,2022,3
POL,CHN,2017,3
GRC,CHN,2016,3
PHL,CHN,2017,3
PHL,CHN,2022,3
DNK,CHN,2015,3
DNK,CHN,2017,3
ISR,CHN,2023,3
DNK,CHN,2016,2
POL,CHN,2021,2
FIN,CHN,2016,2
EGY,CHN,2016,2
